date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:51:25	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/robots.txt		(from )
04:51:28	1755707/1755707	---M-Z	200	added ('OK')	text/html	etag:%221aca3b-64e387f7-40b934792760af2e;gz%22	https://blockchaininstanthelpdesk.com/	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/index.html	(from )
04:51:29	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/static/img/ms-icon-144x144.png	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/static/img/ms-icon-144x144.png	(from https://blockchaininstanthelpdesk.com/)
04:51:31	144683/144683	---MC-	200	added ('OK')	image/png	date:Sat,%2016%20Sep%202023%2011:51:29%20GMT	https://www.blockchain.com/static/img/home/opengraph.png	C:/Users/HP/Desktop/YJs/test15/www.blockchain.com/static/img/home/opengraph.png	(from https://blockchaininstanthelpdesk.com/)
04:51:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/static/apple-touch-icon.png	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/static/apple-touch-icon.png	(from https://blockchaininstanthelpdesk.com/)
04:51:31	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/static/favicon-32x32.png	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/static/favicon-32x32.png	(from https://blockchaininstanthelpdesk.com/)
04:51:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/static/favicon-16x16.png	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/static/favicon-16x16.png	(from https://blockchaininstanthelpdesk.com/)
04:51:32	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/static/favicon.ico	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/static/favicon.ico	(from https://blockchaininstanthelpdesk.com/)
04:51:34	5264/5264	---M-Z	200	added ('OK')	text/css	etag:W/%2264ffb2d1-1490%22	https://rsms.me/inter/inter.css	C:/Users/HP/Desktop/YJs/test15/rsms.me/inter/inter.css	(from https://blockchaininstanthelpdesk.com/)
04:51:35	22976/22976	---M-Z	200	added ('OK')	text/css	etag:%2259c0-64e386bd-9ee6d1620b28f1cd;gz%22	https://blockchaininstanthelpdesk.com/output.css	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/output.css	(from https://blockchaininstanthelpdesk.com/)
04:51:37	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/manifest.json	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/manifest.8.delayed	(from https://blockchaininstanthelpdesk.com/)
04:51:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2016%20Sep%202023%2011:51:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Desktop/YJs/test15/www.googletagmanager.com/gtm.95445.delayed	(from https://blockchaininstanthelpdesk.com/)
04:51:39	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/css/98e8a879deec178c.css	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/css/98e8a879deec178c.css	(from https://blockchaininstanthelpdesk.com/)
04:51:39	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://blockchaininstanthelpdesk.com/)
04:51:39	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/webpack-63695443719ff942.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/webpack-63695443719ff942.js	(from https://blockchaininstanthelpdesk.com/)
04:51:40	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/framework-79bce4a3a540b080.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/framework-79bce4a3a540b080.js	(from https://blockchaininstanthelpdesk.com/)
04:51:40	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/main-fa07688dd0696eba.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/main-fa07688dd0696eba.js	(from https://blockchaininstanthelpdesk.com/)
04:51:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/pages/_app-5e315d6c28889747.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/pages/_app-5e315d6c28889747.js	(from https://blockchaininstanthelpdesk.com/)
04:51:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/1311-167a9a49783e312a.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/1311-167a9a49783e312a.js	(from https://blockchaininstanthelpdesk.com/)
04:51:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/3899-06468ed7f1d5748e.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/3899-06468ed7f1d5748e.js	(from https://blockchaininstanthelpdesk.com/)
04:51:42	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/3920-9e00a86c305d1d10.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/3920-9e00a86c305d1d10.js	(from https://blockchaininstanthelpdesk.com/)
04:51:43	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64d533db-31c105a20dcc6a78;gz%22	https://blockchaininstanthelpdesk.com/_next/static/chunks/8989-cba1bdb258a76837.js	C:/Users/HP/Desktop/YJs/test15/blockchaininstanthelpdesk.com/_next/static/chunks/8989-cba1bdb258a76837.js	(from https://blockchaininstanthelpdesk.com/)
